iso3,region,subregion,intermediate_region
AFG,Asia,Southern Asia,
ALA,Europe,Northern Europe,
ALB,Europe,Southern Europe,
DZA,Africa,Northern Africa,
ASM,Oceania,Polynesia,
AND,Europe,Southern Europe,
AGO,Africa,Sub-Saharan Africa,Middle Africa
AIA,Americas,Latin America and the Caribbean,Caribbean
ATA,,,
ATG,Americas,Latin America and the Caribbean,Caribbean
ARG,Americas,Latin America and the Caribbean,South America
ARM,Asia,Western Asia,
ABW,Americas,Latin America and the Caribbean,Caribbean
AUS,Oceania,Australia and New Zealand,
AUT,Europe,Western Europe,
AZE,Asia,Western Asia,
BHS,Americas,Latin America and the Caribbean,Caribbean
BHR,Asia,Western Asia,
BGD,Asia,Southern Asia,
BRB,Americas,Latin America and the Caribbean,Caribbean
BLR,Europe,Eastern Europe,
BEL,Europe,Western Europe,
BLZ,Americas,Latin America and the Caribbean,Central America
BEN,Africa,Sub-Saharan Africa,Western Africa
BMU,Americas,Northern America,
BTN,Asia,Southern Asia,
BOL,Americas,Latin America and the Caribbean,South America
BES,Americas,Latin America and the Caribbean,Caribbean
BIH,Europe,Southern Europe,
BWA,Africa,Sub-Saharan Africa,Southern Africa
BVT,Americas,Latin America and the Caribbean,South America
BRA,Americas,Latin America and the Caribbean,South America
IOT,Africa,Sub-Saharan Africa,Eastern Africa
BRN,Asia,South-eastern Asia,
BGR,Europe,Eastern Europe,
BFA,Africa,Sub-Saharan Africa,Western Africa
BDI,Africa,Sub-Saharan Africa,Eastern Africa
CPV,Africa,Sub-Saharan Africa,Western Africa
KHM,Asia,South-eastern Asia,
CMR,Africa,Sub-Saharan Africa,Middle Africa
CAN,Americas,Northern America,
CYM,Americas,Latin America and the Caribbean,Caribbean
CAF,Africa,Sub-Saharan Africa,Middle Africa
TCD,Africa,Sub-Saharan Africa,Middle Africa
CHL,Americas,Latin America and the Caribbean,South America
CHN,Asia,Eastern Asia,
CXR,Oceania,Australia and New Zealand,
CCK,Oceania,Australia and New Zealand,
COL,Americas,Latin America and the Caribbean,South America
COM,Africa,Sub-Saharan Africa,Eastern Africa
COG,Africa,Sub-Saharan Africa,Middle Africa
COD,Africa,Sub-Saharan Africa,Middle Africa
COK,Oceania,Polynesia,
CRI,Americas,Latin America and the Caribbean,Central America
CIV,Africa,Sub-Saharan Africa,Western Africa
HRV,Europe,Southern Europe,
CUB,Americas,Latin America and the Caribbean,Caribbean
CUW,Americas,Latin America and the Caribbean,Caribbean
CYP,Asia,Western Asia,
CZE,Europe,Eastern Europe,
DNK,Europe,Northern Europe,
DJI,Africa,Sub-Saharan Africa,Eastern Africa
DMA,Americas,Latin America and the Caribbean,Caribbean
DOM,Americas,Latin America and the Caribbean,Caribbean
ECU,Americas,Latin America and the Caribbean,South America
EGY,Africa,Northern Africa,
SLV,Americas,Latin America and the Caribbean,Central America
GNQ,Africa,Sub-Saharan Africa,Middle Africa
ERI,Africa,Sub-Saharan Africa,Eastern Africa
EST,Europe,Northern Europe,
